                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.53344,                   0.38,                 1.0731,                0.89416,                 0.7592,                0.86274,                0.70475,                0.76558,                0.76917,                  1.184,             6.7825e-05,             6.7825e-05,             6.7825e-05
                     67,                0.51355,                 0.3536,                 1.0591,                0.86583,                  0.764,                0.86032,                0.70596,                0.76815,                0.77465,                 1.1894,              6.733e-05,              6.733e-05,              6.733e-05
                     68,                0.55612,                0.38751,                 1.0961,                0.89039,                0.75447,                0.86676,                 0.7118,                0.76538,                0.77468,                 1.1858,             6.6835e-05,             6.6835e-05,             6.6835e-05
                     69,                0.54045,                0.37855,                 1.0876,                0.84573,                0.78086,                0.86782,                0.71192,                0.75524,                0.77866,                 1.1734,              6.634e-05,              6.634e-05,              6.634e-05
                     70,                0.52055,                0.36833,                 1.0676,                0.91192,                0.74442,                0.86414,                0.70638,                0.76009,                0.78165,                 1.1801,             6.5845e-05,             6.5845e-05,             6.5845e-05
                     71,                0.54803,                0.37441,                 1.0777,                0.84294,                0.79252,                0.86462,                0.70501,                0.76279,                 0.7676,                 1.1854,              6.535e-05,              6.535e-05,              6.535e-05
                     72,                0.53987,                0.37539,                 1.0746,                0.87418,                0.75256,                0.86481,                0.70562,                0.75276,                0.76339,                 1.1756,             6.4855e-05,             6.4855e-05,             6.4855e-05
                     73,                0.54126,                0.36873,                 1.0721,                0.86648,                0.76934,                0.86964,                0.70971,                0.74978,                0.75196,                 1.1678,              6.436e-05,              6.436e-05,              6.436e-05
                     74,                0.53571,                0.36238,                 1.0696,                0.89377,                0.75934,                0.86481,                0.70674,                0.74349,                 0.7725,                 1.1589,             6.3865e-05,             6.3865e-05,             6.3865e-05
                     75,                0.54684,                0.36883,                   1.08,                0.90824,                0.74171,                0.86268,                0.70309,                0.75647,                0.76902,                 1.1662,              6.337e-05,              6.337e-05,              6.337e-05
                     76,                 0.5325,                0.37142,                 1.0704,                 0.8823,                0.75935,                0.86365,                 0.7037,                0.75452,                0.76913,                 1.1729,             6.2875e-05,             6.2875e-05,             6.2875e-05
                     77,                0.51805,                0.35287,                 1.0599,                0.86445,                0.76833,                0.86171,                0.70605,                0.75864,                0.78035,                 1.1807,              6.238e-05,              6.238e-05,              6.238e-05
                     78,                0.52671,                0.35292,                 1.0668,                0.89768,                0.74837,                0.85811,                0.69722,                0.76177,                0.78284,                 1.1808,             6.1885e-05,             6.1885e-05,             6.1885e-05
                     79,                0.50438,                0.35513,                   1.07,                0.84103,                0.77953,                0.86841,                0.70976,                0.74425,                0.76161,                 1.1631,              6.139e-05,              6.139e-05,              6.139e-05
                     80,                0.52648,                 0.3748,                 1.0749,                0.89302,                0.75975,                0.86439,                0.70289,                0.75983,                0.75999,                 1.1881,             6.0895e-05,             6.0895e-05,             6.0895e-05
                     81,                0.51631,                0.35921,                  1.058,                0.89309,                0.74719,                0.85868,                0.69738,                0.75589,                0.78112,                  1.179,               6.04e-05,               6.04e-05,               6.04e-05
