                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.29366,                0.38717,                0.26982,                0.88053,                0.97781,                0.98905,                0.98768,                0.97396,                0.97781,                0.98905,                0.98768,                0.96351,                0.20585,                0.34503,                0.21438,                0.75745,               0.004258,               0.004258,               0.004258
                     60,                0.30427,                0.38693,                0.26671,                0.89025,                0.99063,                0.97919,                0.98695,                0.97312,                0.99063,                0.97919,                0.98695,                0.96434,                0.19041,                0.34644,                0.19635,                0.74929,               0.004159,               0.004159,               0.004159
                     61,                0.30375,                0.37468,                0.27362,                0.89117,                0.98416,                0.97488,                0.98552,                0.96559,                0.98416,                0.97488,                0.98552,                0.95749,                0.19851,                0.35022,                0.21177,                0.75632,                0.00406,                0.00406,                0.00406
                     62,                0.30385,                0.40346,                0.27551,                 0.8909,                 0.9794,                0.98007,                0.98867,                0.97432,                 0.9794,                0.98007,                0.98867,                0.96541,                0.18887,                0.34023,                0.20157,                0.75099,               0.003961,               0.003961,               0.003961
                     63,                0.28885,                0.38689,                0.26166,                0.88643,                0.97883,                0.98547,                0.98843,                0.96854,                0.97883,                0.98547,                0.98843,                0.96164,                0.19666,                0.33965,                0.18824,                0.75989,               0.003862,               0.003862,               0.003862
                     64,                0.28783,                0.37626,                0.25137,                0.88657,                0.98508,                0.96871,                0.98823,                0.97102,                0.98508,                0.96871,                0.98897,                0.96285,                0.19094,                 0.3426,                0.20043,                0.75658,               0.003763,               0.003763,               0.003763
                     65,                0.30089,                0.36365,                0.25457,                0.88544,                0.97366,                0.97147,                0.98645,                0.97052,                0.97366,                0.97147,                0.98645,                0.96258,                0.20003,                 0.3573,                0.22646,                0.75767,               0.003664,               0.003664,               0.003664
                     66,                0.30075,                0.38087,                0.26373,                0.89651,                0.98132,                0.98187,                0.98718,                0.97209,                0.98132,                0.98187,                0.98718,                0.96231,                0.19073,                 0.3504,                 0.1906,                0.75997,               0.003565,               0.003565,               0.003565
                     67,                0.29842,                0.36944,                0.26068,                0.88647,                0.97837,                0.98505,                0.99009,                0.97275,                0.97837,                0.98505,                0.99009,                0.96522,                0.18781,                0.34199,                0.19334,                 0.7539,               0.003466,               0.003466,               0.003466
                     68,                0.29029,                0.36404,                0.25212,                0.88237,                0.98361,                0.98034,                0.99011,                 0.9744,                0.98361,                0.98034,                0.99011,                0.96491,                0.18537,                0.35278,                0.18865,                 0.7501,               0.003367,               0.003367,               0.003367
                     69,                0.27947,                0.38779,                0.23843,                0.87329,                0.98504,                0.98409,                0.98819,                0.97375,                0.98504,                0.98409,                 0.9888,                0.96532,                 0.1868,                0.33885,                0.19999,                0.76029,               0.003268,               0.003268,               0.003268
                     70,                0.28325,                0.35871,                0.24641,                 0.8816,                0.98327,                0.98173,                0.99102,                0.97875,                0.98327,                0.98173,                0.99102,                0.96787,                0.17942,                0.35884,                0.19854,                 0.7484,               0.003169,               0.003169,               0.003169
                     71,                0.28175,                0.38162,                0.23986,                0.88206,                0.98329,                0.98727,                0.99029,                0.97593,                0.98329,                0.98727,                0.99029,                0.96642,                0.18918,                0.34241,                0.18591,                0.75212,                0.00307,                0.00307,                0.00307
                     72,                0.28097,                0.35358,                0.23772,                0.88531,                0.97909,                0.98714,                0.98983,                0.97585,                0.97909,                0.98714,                0.98983,                0.96867,                0.18383,                0.33869,                 0.1803,                0.75214,               0.002971,               0.002971,               0.002971
                     73,                0.28496,                0.35034,                0.23466,                0.88052,                0.97922,                 0.9796,                0.99017,                0.97867,                0.97922,                 0.9796,                0.99017,                0.96809,                0.18172,                0.34031,                0.18537,                0.74689,               0.002872,               0.002872,               0.002872
                     74,                0.27261,                0.36458,                0.24161,                0.87744,                0.98387,                0.97861,                0.98843,                0.97726,                0.98387,                0.97861,                0.98843,                0.96794,                0.17596,                0.33771,                0.19435,                0.73954,               0.002773,               0.002773,               0.002773
                     75,                0.26741,                0.35173,                0.23391,                0.87923,                0.98463,                0.97133,                0.98921,                0.97987,                0.98463,                0.97133,                0.98921,                0.96961,                0.17258,                0.33166,                0.18409,                0.74225,               0.002674,               0.002674,               0.002674
                     76,                0.26868,                0.33447,                 0.2219,                0.87354,                0.98598,                0.97659,                0.98938,                0.97908,                0.98598,                0.97659,                0.98938,                0.96947,                0.17376,                0.33069,                0.18114,                0.74834,               0.002575,               0.002575,               0.002575
                     77,                0.27075,                 0.3337,                 0.2225,                0.86896,                0.99199,                0.96822,                0.98679,                0.97556,                0.99199,                0.96822,                0.98679,                0.96821,                0.18075,                0.33617,                 0.1915,                0.74976,               0.002476,               0.002476,               0.002476
                     78,                0.26458,                0.33887,                0.22065,                0.87242,                0.97413,                0.97793,                0.98808,                 0.9753,                0.97413,                0.97793,                0.98808,                0.96663,                0.17092,                0.33463,                0.18985,                0.74663,               0.002377,               0.002377,               0.002377
                     79,                0.26581,                 0.3354,                0.22343,                0.88103,                0.97242,                0.97779,                0.98535,                0.97308,                0.97242,                0.97779,                0.98535,                0.96342,                0.16881,                0.35638,                0.19554,                0.74876,               0.002278,               0.002278,               0.002278
                     80,                0.25852,                 0.3249,                0.21636,                0.87913,                0.97605,                0.97861,                0.98469,                0.97578,                0.97605,                0.97861,                0.98469,                0.96462,                0.16795,                0.34119,                0.18588,                0.74634,               0.002179,               0.002179,               0.002179
                     81,                0.26394,                0.32103,                 0.2143,                0.87722,                0.97935,                0.98072,                0.98686,                0.97765,                0.97935,                0.98072,                0.98686,                0.96799,                0.16667,                0.32916,                0.18591,                0.74036,                0.00208,                0.00208,                0.00208
                     82,                0.25724,                0.32602,                0.20963,                0.87578,                0.98405,                0.97527,                0.98647,                0.97689,                0.98405,                0.97527,                0.98647,                0.96701,                0.17077,                  0.335,                0.17869,                0.74046,               0.001981,               0.001981,               0.001981
                     83,                  0.251,                0.32597,                0.20646,                0.86482,                0.98256,                 0.9791,                0.98685,                0.97625,                0.98256,                 0.9791,                0.98685,                0.96777,                0.16489,                 0.3284,                0.18595,                0.73876,               0.001882,               0.001882,               0.001882
                     84,                0.27014,                0.33838,                0.21737,                0.88506,                0.99026,                0.97607,                 0.9888,                0.97687,                0.99026,                0.97607,                 0.9888,                0.96513,                0.16693,                0.33763,                0.16649,                0.74172,               0.001783,               0.001783,               0.001783
                     85,                0.25646,                0.33832,                0.20954,                0.87818,                0.98667,                0.98423,                0.98973,                0.97694,                0.98667,                0.98423,                0.98864,                0.96738,                 0.1716,                0.33356,                 0.1616,                0.74946,               0.001684,               0.001684,               0.001684
