                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.57476,                0.39112,                 1.0235,                0.96365,                0.95459,                0.99022,                 0.8871,                0.52989,                0.30056,                0.91043,             7.4755e-05,             7.4755e-05,             7.4755e-05
                     53,                0.56271,                0.39773,                  1.014,                0.96961,                0.93558,                0.98843,                0.88618,                0.52767,                0.31355,                0.91008,              7.426e-05,              7.426e-05,              7.426e-05
                     54,                0.57955,                0.37776,                 1.0164,                0.95137,                0.96099,                0.98876,                0.88829,                0.52448,                0.30306,                0.91014,             7.3765e-05,             7.3765e-05,             7.3765e-05
                     55,                0.59298,                0.39657,                 1.0294,                0.95327,                0.96587,                0.98873,                0.88751,                0.52316,                0.29982,                0.90922,              7.327e-05,              7.327e-05,              7.327e-05
                     56,                0.58095,                0.37817,                 1.0181,                0.96418,                0.93787,                0.98628,                0.88562,                0.52006,                0.30441,                0.90603,             7.2775e-05,             7.2775e-05,             7.2775e-05
                     57,                0.58459,                0.38536,                 1.0112,                 0.9575,                0.96235,                0.99034,                0.89141,                0.52103,                 0.2933,                0.90547,              7.228e-05,              7.228e-05,              7.228e-05
                     58,                0.57626,                0.38551,                 1.0208,                0.95766,                0.96434,                0.98899,                0.88882,                0.52445,                0.29671,                0.90608,             7.1785e-05,             7.1785e-05,             7.1785e-05
                     59,                0.58036,                0.36624,                 1.0194,                0.95939,                 0.9628,                0.98896,                0.88858,                 0.5263,                0.29965,                0.90749,              7.129e-05,              7.129e-05,              7.129e-05
                     60,                0.57639,                0.36608,                 1.0185,                0.95532,                0.95111,                0.98872,                0.88884,                0.52601,                0.30613,                0.90566,             7.0795e-05,             7.0795e-05,             7.0795e-05
                     61,                0.57761,                0.36625,                 1.0157,                0.96294,                0.95083,                0.98778,                0.88534,                0.52815,                0.30368,                0.90817,               7.03e-05,               7.03e-05,               7.03e-05
                     62,                0.58683,                0.37183,                  1.021,                0.95816,                0.95313,                0.98783,                0.88409,                0.52851,                0.30943,                0.90858,             6.9805e-05,             6.9805e-05,             6.9805e-05
